State,Sum of 1/31/22,Sum of 2/28/22,Sum of 3/31/22,Sum of 4/30/22,Sum of 5/31/22,Sum of 6/30/22,Sum of 7/31/22,Sum of 8/31/22,Sum of 9/30/22,Sum of 10/31/22,Sum OF 2022,Percentage
AK,1363018,1378865,1380270,1388150,1396414,1412258,1425876,1437566,1443389,1447118,14072924,0.592%
AL,3306530,3432323,3678852,3729302,3767733,3810005,3845674,3880711,3906579,3935619,37293328,1.569%
AR,2710507,2766398,2803472,2840624,2866293,2893903,2919885,2940820,2961599,2977651,28681152,1.207%
AZ,3823262,3894301,3965334,4043180,4114304,4167529,4192230,4198928,4191224,4196427,40786719,1.716%
CA,20176449,20507979,20866247,21214746,21434046,21531306,21504222,21364160,19722212,21149722,209471089,8.813%
CO,9271267,9424513,9591430,9764035,9930042,10051566,10121870,10144359,10135374,10143506,98577962,4.147%
CT,1770409,1790071,1813421,1842826,1867702,1886879,1898125,1904715,1910277,1915009,18599434,0.783%
DE,661772,671243,681594,691631,699406,705955,710413,714436,717843,721327,6975620,0.293%
FL,9172750,9396648,9638954,9911907,10175522,10421339,10594912,10705996,10755094,10783966,101557088,4.273%
GA,6803541,6971380,7075449,7189865,7267966,7387974,7484733,7570536,7619482,7667913,73038839,3.073%
HI,3093782,3157660,3247782,3328602,3411618,3472803,3530186,3571111,3607663,3638893,34060100,1.433%
IA,3357112,3394685,3418076,3441870,3467619,3495707,3525456,3552072,3570136,3582644,34805377,1.464%
ID,5666082,5787150,5826762,5864263,5889208,5940163,5974620,6010357,6026619,6055054,59040278,2.484%
IL,3612974,3652259,3527107,3722718,3755057,3790762,3823406,3850917,3867498,3883258,37485956,1.577%
IN,6363925,6465256,6533280,6600271,6653332,6716627,6770722,6819729,6856861,6894942,66674945,2.805%
KS,2998799,3016375,3020004,3026198,3043224,3079069,3115952,3150679,3172289,3191103,30813692,1.296%
KY,3357946,3411744,3439655,3469234,3499649,3531943,3562772,3592302,3620680,3649816,35135741,1.478%
LA,2845369,2883778,2907410,2935474,2959305,2986651,3006770,3021879,3030594,3038922,29616152,1.246%
MA,3440850,3478486,3507574,3543106,3581563,3615869,3634520,3649246,3659373,3674586,35785173,1.506%
MD,1726748,1745391,1761044,1776804,1790924,1804058,1814854,1824395,1831242,1837578,17913038,0.754%
ME,1188362,1206635,1225063,1243597,1257615,1270115,1280105,1285843,1291124,1296154,12544613,0.528%
MI,6146096,6220881,6273535,6323609,6381442,6439883,6484815,6523259,6549082,6582511,63925113,2.689%
MN,5211885,5260007,5295843,5337166,5387607,5435443,5473123,5505534,5527093,5553598,53987299,2.271%
MO,4427174,4490773,4544743,4593330,4624866,4669022,4712301,4763340,4789851,4822731,46438131,1.954%
MS,2522356,2572183,2595675,2621578,2636879,2662824,2686077,2707060,2715868,2725041,26445541,1.113%
MT,2989254,3057039,3109510,3152844,3197393,3251872,3300531,3334632,3332216,3321562,32046853,1.348%
NC,8644601,8825912,8971715,9123718,9276604,9443522,9567197,9673016,9724840,9783963,93035088,3.914%
ND,1856553,1864370,1860377,1867410,1877572,1888176,1896862,1904413,1911556,1919610,18846899,0.793%
NE,2502230,2536536,2546826,2558089,2571025,2593238,2612150,2631039,2643017,2659235,25853385,1.088%
NH,1959561,1990670,2017404,2048230,2073874,2096278,2118090,2133512,2151113,2168314,20757046,0.873%
NJ,1397013,1417372,1437860,1469153,1489508,1506151,1511391,1520096,1527528,1536020,14812092,0.623%
NM,3753627,3829652,3864257,3903125,3929888,3972761,4014403,4052059,4073064,4088230,39481066,1.661%
NV,3885701,3967643,4033578,4094951,4124603,4132106,4124923,4109865,4085853,4061372,40620595,1.709%
NY,5296218,5363954,5424083,5485044,5552581,5611689,5660983,5693999,5720154,5754413,55563118,2.338%
OH,7511676,7615353,7669862,8088258,8155436,8246348,8328856,8420112,8486185,8536787,81058873,3.410%
OK,2774779,2826901,2851615,2877492,2897575,2927054,2956539,2985895,3002803,3019549,29120202,1.225%
OR,8303999,8409049,8485654,8574799,8669075,8750175,8795059,8823126,8836539,8861053,86508528,3.640%
PA,6553326,6634868,6688345,6743744,6801971,6867589,6921916,6968599,7002508,7043754,68226620,2.870%
RI,421036,425042,428855,433195,438144,443960,447295,448434,448391,448888,4383240,0.184%
SC,3329402,3396232,3457018,3521956,3585657,3655588,3710415,3752338,3768588,3785375,35962569,1.513%
SD,2604981,2664186,2694940,2724840,2739697,2766573,2794027,2818822,2832820,2846632,27487518,1.156%
TN,5519700,5673226,5772506,5869124,5942412,6046542,6122789,6187759,6217887,6249508,59601453,2.508%
TX,12729206,12984558,13354641,13534201,13675189,13873064,14036543,14183766,14258012,14332516,136961696,5.762%
UT,4041000,4118901,4167668,4225232,4272027,4318448,4338703,4337660,4327945,4322449,42470033,1.787%
VA,3579300,3624629,3654392,3684964,3715078,3752874,3786500,3813421,3829933,3846221,37287312,1.569%
VT,1258746,1280807,1297178,1307552,1314530,1329805,1353291,1376012,1391302,1404146,13313369,0.560%
WA,9079591,9227410,9354080,9463326,9547584,9625953,9676932,9700202,9701197,9677984,95054259,3.999%
WI,5185360,5248099,5298330,5352446,5404224,5458836,5500480,5536076,5564055,5594065,54141971,2.278%
WV,1027930,1045131,1052644,1062976,1071617,1082464,1087708,1090541,1092676,1097951,10711638,0.451%
WY,3469463,3547154,3577222,3606872,3631901,3661236,3687833,3710044,3727068,3767525,36386318,1.531%
Grand Total,224693218,228551678,231689136,235217627,237814501,240481955,242445035,243895388,243136296,245492211,2373417045,99.854%
